S.No,Unique Code,Name of the State,State Code,Name of the District,Name of the programme,Address of the Programme (with landmark),Type of Programme,Timing of the programme (as per government) (starting time),Timing of the programme (as per government) (Ending time),Timing of the programme (as per centre) (Starting time),Timing of the programme (as per centre) (Ending time),Type of Programme,Medium of Instruction,Age Score of the children,Number of children enrolled in grade assessed,Number of children present (marked in register) ( counting),Number of children present (head count),Incharge of the class/ grade assessed ,Name of the Administrator,Date of Administration (DD/MM/YYYY) ,Time of Administration (Starting time),Time of Administration (Ending time),Verified by,Number of Activities observed,Plan,Transition,Engagement,Organising activity,Teacher Plan,6. Group actvity,Multi-grade,Classroom language,Free Conversation,Guided Conversation,Story telling ,Rhymes and Songs ,Free Play ,Art and craft,Gross Motor development,Cognitive development,Emergent Writing,Emergent Reading,Environmental awareness,1.Safe ,2. Clean ,3.Boundary wall,4. Infrastructure for children with special needs,5. Safety level of the building ,6. Playground ,7. Inculcates healthy habits in children (regular hygiene check, washing hands before meals and after toilet ,8. Toileting Schedule,9. Hygiene practices,10.Availability and use of clean water for drinking,11. Personal cleanliness Practices,12. Space allocated for class,13. Ventilation and lighting,14. Availability of space for conducting the indoor activities properly,15. Availability of space for conducting the outdoor activities properly,16.. Child friendly furniture,17. Clean classroom,18. Toilet ,19.Teacher â€“pupil ratio,20. Homogenous classroom,21. Health check-up for children,22.Health check-up for teachers or helper,23. Availability of first-aid facilities,24. Learning material for activity-based teaching ,25. Blackboard for children,26. Activity books ,27. Picture books ,28. Manipulative/ Creative Learning material ,29. Sand play,30. Learning material for children with special needs ,31. Equipment for outdoor play ,32. Activity based corners  ,33. Print rich environment  ,34. Display of art prepared by children,35. Time-table display ,36. Seating arrangement to promote inclusion ,37. Individual planning for children with special needs ,38. Sensitive towards children with special needs,1. Teacher engages positively with child ,2. Child friendly behavior  ,3. Encourages interaction among children ,4. Teacher encourage children's questions,5. Receiving children on arrival  ,6. Uses positive reinforcement for children,7.  Responsive to children needs ,8.  Teacher treats all children equally and with respect, affection and care ,9. Efforts to break gender stereotypes ,10. Efforts to raise awareness of ethnic and religious diversity,11. Teacher Name,12. Gender,13. Age,14. Type of teacher,15. Total teaching experience,16. Total teacing experience in this pre-school,17. Educational Qualification,18. Did you receive any pre-service training ?,19. Did you receive any pre-service training in ECE?,20.  Languages spoken by the teacher (name),20. Languages spoken by the teacher (code),21. Did you receive any in-service training during the last academic year?,22. Is there a system for supervision of teachers in your school? ,23. What is the frequency of supervison visit?,24. How often do you meet with the parents?,25. Do you talk to parents regarding the progress of their children?,,,
1,B1,Bihar,1,Gaya,AWC Azamgarh,Gaon Puri chor Shiv Mandir sameep,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,38,35,1,Sabhajeet Kumar,11/20/2022,9:50,2:00,Swati Amrit,4,2,2,2,1,1,2,1,3,2,3,1,3,1,1,1,1,1,1,1,3,2,1,1,4,2,2,1,1,2,1,4,4,4,2,1,2,2,2,4,3,1,1,1,2,2,1,1,1,1,1,1,4,1,2,0,NA,NA,4,3,2,2,2,2,3,3,1,3,Meena Devi,2,4,1,4,4,1,2,1,Hindi,1,1,1,2,1,1,,,,,
2,B2,Bihar,1,Gaya,AWC Azamgarh,Madhya Vidhayaly ke samne,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,20,20,16,1,Sabhajeet Kumar,11/19/2022,9:55,2:00,Swati Amrit,4,3,2,2,1,1,3,1,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,2,1,4,4,4,2,1,2,2,3,4,4,1,1,2,2,1,1,1,1,1,1,1,4,1,2,2,1,1,4,3,2,2,3,2,3,4,1,3,Reena Kumari,2,3,1,3,2,5,2,1,Hindi,1,1,1,4,1,1,,,,,
3,B3,Bihar,1,Gaya,Hasanpur,Prathmik vidhye ke samne,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,30,28,1,Sabhajeet Kumar,11/17/2022,9:55,2:00,Swati Amrit,4,3,1,2,1,1,3,1,2,3,2,1,3,2,2,1,1,2,2,1,1,1,1,1,4,1,2,1,1,2,1,4,4,4,2,1,2,1,2,4,4,1,1,2,2,1,1,1,1,1,1,1,4,1,2,2,1,1,4,4,2,2,3,2,4,3,1,2,Sangeeta Devi,2,2,1,2,2,2,2,1,Hindi,1,1,1,4,1,1,,,,,
4,B4,Bihar,1,Gaya,AWC Tikuli- 7,Parathmik Vidhyalay Tikuli beside,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,38,35,1,Sabhajeet Kumar,11/27/2022,10:00,2:00,Swati Amrit,4,2,2,2,1,1,3,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,3,1,1,1,2,2,4,4,1,1,2,2,2,2,1,1,1,1,1,4,1,2,0,NA,NA,4,4,2,2,2,2,3,3,1,3,Poonam Devi,2,3,1,4,3,4,2,1,Hindi,1,1,1,4,1,1,,,,,
5,B5,Bihar,1,Gaya,AWC Saif Ganj Madhya Pachmehla,Behinf primry schoool,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,38,20,1,Sabhajeet Kumar,11/24/2022,9:45,2:00,Swati Amrit,4,2,2,2,1,1,2,1,2,2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,4,2,2,1,1,1,1,4,4,4,2,1,2,1,2,4,4,1,1,1,2,1,1,1,1,1,1,1,4,1,2,2,1,1,4,4,3,2,2,2,1,2,1,3,Uma Sharma,2,5,1,4,4,1,2,1,Hindi,1,1,1,2,1,1,,,,,
6,B6,Bihar,1,Gaya,AWC Roridhih,AWC Rordhih Pani tanki ke pass,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,34,29,1,Sabhajeet Kumar,11/21/2022,10:00,2:00,Swati Amrit,5,2,2,2,1,1,3,1,3,2,3,1,3,1,1,1,1,1,1,1,3,2,1,1,4,2,2,1,1,2,1,4,4,4,2,1,2,2,2,4,4,1,1,2,2,1,1,1,1,1,1,1,4,1,2,2,1,1,4,4,2,3,2,2,3,3,1,3,Reetu Sinha,2,3,1,3,3,5,2,2,Hindi,1,1,1,4,1,1,,,,,
7,B7,Bihar,1,Gaya,Aaganwadi Centre,AWC- Itwa Mohanpur Gaya,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,35,22,1,Ashfaque Alam,11/03/22,9:50,1:00,Swati Amrit,3,2,2,4,1,1,2,1,4,2,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,4,3,3,1,1,2,2,2,4,4,1,1,2,1,2,2,1,1,1,1,1,1,1,2,0,NA,NA,1,2,2,1,2,2,1,4,2,2,Suma Devi,2,4,1,4,2,2,1,1,Hindi,1,1,1,4,4,1,,,,,
8,B8,Bihar,1,Gaya,AWC Dhamna,AWC Dhamna,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,28,17,1,Ashfaque Alam,11/21/2022,10:05,2:00,Swati Amrit,4,1,1,3,1,2,2,1,4,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,4,4,3,1,1,2,1,2,4,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,NA,NA,2,4,3,2,2,2,1,NA,NA,NA,Rekha Devi,2,3,1,4,4,2,1,1,Hindi,1,1,1,4,4,1,,,,,
9,B9,Bihar,1,Gaya,Aaganwadi Centre,AWC Kanchanpur,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,26,19,1,Ashfaque Alam,11/20/2022,10:00,1:30,Swati Amrit,5,1,2,4,1,2,2,1,4,1,1,1,4,1,1,1,1,4,1,1,2,3,1,1,1,1,1,1,1,1,2,4,4,3,1,1,2,2,2,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,0,NA,NA,2,4,3,2,2,2,1,4,NA,NA,2,Sarita DEvi,3,1,2,2,1,1,1,1,Hindi,1,1,3,4,1,,,,,,
10,B10,Bihar,1,Gaya,Aaganbadi Centre,AWC Kanchanpur,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,28,20,1,Ashfaque Alam,11/05/22,9:50,1:30,Swati Amrit,4,1,2,3,1,1,2,1,4,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,1,4,3,3,1,1,2,2,2,4,4,1,1,2,2,4,3,1,1,1,1,1,2,1,2,0,NA,NA,1,2,2,1,2,2,3,4,2,2,Kamala Devi,2,3,1,4,4,2,1,1,Hindi,1,1,1,2,4,1,,,,,
11,B11,Bihar,1,Gaya,Aaganwadi Centre,AWC chornima,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,32,20,1,Ashfaque Alam,11/02/22,9:55,2:15,Swati Amrit,5,2,2,2,1,1,2,1,4,2,1,1,4,1,1,1,1,2,1,1,2,2,1,1,4,1,1,2,1,2,1,4,3,3,1,1,2,2,2,4,4,2,2,3,1,4,4,1,1,1,1,1,2,1,2,0,NA,NA,1,3,2,1,2,2,4,4,2,2,Urmila Devi,2,4,1,4,4,2,1,1,Hindi,1,2,1,4,2,1,,,,,
12,B12,Bihar,1,Gaya,AWC Shukhdev Chak,Hotel Maha Maya,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,32,28,1,Ashfaque Alam,11/01/22,10:00,2:00,Tamim,7,2,2,3,1,1,2,1,1,1,3,1,4,1,1,1,1,1,2,1,3,2,1,1,4,1,4,4,3,3,4,4,3,3,1,1,2,2,2,4,4,1,1,2,2,4,4,1,1,1,1,1,2,1,1,0,NA,NA,4,4,2,2,2,2,3,4,2,2,Anila Kumari,2,4,1,4,4,2,1,1,Hindi,1,1,1,4,2,1,,,,,
13,B13,Bihar,1,Gaya,Aaganwadi Centre,AWC Semari samriya purvi chor,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,38,30,1,Sabhajeet Kumar,11/03/22,9:50,2:00,Swati Amrit,5,2,2,1,1,1,3,1,3,2,3,1,3,1,1,1,1,1,1,1,2,2,1,1,4,2,2,1,1,2,1,4,4,4,2,1,2,2,2,4,4,1,1,2,2,1,1,1,1,1,1,1,4,1,2,0,NA,NA,4,4,2,2,2,2,3,3,1,3,Rita Kumari Sinha,2,4,1,4,4,2,1,1,Hindi,1,1,1,2,1,1,,,,,
14,B14,Bihar,1,Gaya,AWC,AWC-7 near gyandeep Bharti niketan,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,24,19,1,Minhajuddin,11/19/2022,9:50,1:55,Swati Amrit,6,1,2,3,2,1,3,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,3,1,1,2,2,1,2,1,2,4,2,2,2,1,2,2,2,4,4,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0,NA,NA,1,2,2,2,2,3,NA,NA,NA,NA,Chinta Devi,2,3,1,3,3,3,1,1,Hindi,1,1,1,3,4,1,,,,,
15,B15,Bihar,1,Gaya,AWC 125,near PNB Mini Bank C hordiha,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,35,23,1,Minhajuddin,11/20/2022,9:50,1:40,Swati Amrit,5,1,2,3,1,1,2,1,4,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,4,2,2,1,1,2,1,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,2,3,3,2,1,2,3,3,NA,NA,Baby Kumari,2,2,1,3,3,2,1,1,Hindi,1,2,1,3,3,1,,,,,
16,B16,Bihar,1,Gaya,AWC 162,Near Shiv mandir Manjhar,1,10:00:00,14:00:00,10:30:00,13:30:00,1,1,3,20,20,12,1,Minhajuddin,11/17/2022,9:55,1:30,Swati Amrit,5,1,2,4,1,2,2,4,4,1,1,1,3,4,1,2,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,4,4,3,1,1,2,2,4,4,4,1,1,3,1,2,1,2,1,1,1,1,1,1,1,0,NA,NA,1,4,2,2,2,2,4,2,2,2,Munni Kumari,2,2,1,1,1,1,1,1,Hindi,1,2,1,4,2,1,,,,,
17,B17,Bihar,1,Gaya,AWC-22,Entry Villege,1,10:00:00,14:00:00,10:00:00,14:00:00,1,1,3,40,36,34,1,Minhajuddin,11/23/2022,10:00,1:20,Swati Amrit,6,2,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,3,1,1,1,1,2,1,4,4,4,2,1,2,3,1,4,4,1,1,2,2,1,1,1,1,1,3,1,1,1,2,0,NA,NA,1,2,2,1,2,2,NA,NA,NA,NA,Malti Kumari,2,4,1,4,4,2,2,1,Hindi,1,2,1,4,4,1,,,,,
18,B18,Bihar,1,Patna,AWC ,Rajiv nagar Road no-23,1,10:00:00,14:00:00,10:00:00,14:00:00,2,1,3,40,28,28,1,Mobashshir Danish,11/27/2022,10:00,2:00,Swati Amrit,6,1,2,1,1,1,2,2,4,4,1,1,1,1,1,2,2,1,2,1,4,4,4,1,4,1,1,1,2,3,1,3,4,2,1,1,1,2,3,1,2,1,2,3,4,3,3,3,1,2,1,1,1,1,1,0,NA,NA,2,2,2,2,3,2,NA,NA,NA,NA,Asha Sharma,2,5,1,4,4,1,2,1,Hindi,1,2,1,3,1,1,,,,,
19,B19,Bihar,1,Patna,ICDS,Shivpuri Naer Shiv Mandir,1,10:00:00,14:00:00,10:00:00,14:00:00,2,1,3,40,33,33,1,Chandan Kumar Chubey,11/02/22,10:00,2:00,Swati Amrit,5,1,2,1,1,1,2,2,4,4,2,1,2,1,1,1,2,2,3,1,4,4,4,3,4,1,2,1,2,4,1,4,4,2,1,1,2,3,2,1,3,2,3,2,1,2,2,2,2,1,1,1,3,1,1,0,NA,NA,2,1,2,2,2,2,NA,2,3,NA,Ragini Kumari,2,4,1,2,2,3,1,1,Hindi,1,1,1,4,2,2,,,,,
20,B20,Bihar,1,Patna,AWC ,Mahesh Nagar(Comunitty Hall),1,10:00:00,14:00:00,10:00:00,14:00:00,2,1,3,40,28,28,1,Chandan Kumar Chubey,11/19/2022,10:00,2:00,Swati Amrit,6,2,1,3,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,1,4,2,4,1,4,2,1,1,2,3,3,4,4,2,2,1,2,3,3,1,3,3,3,2,1,1,1,1,1,1,1,2,1,1,1,0,NA,NA,2,1,3,1,2,1,NA,NA,NA,NA,Poonam Devi,2,2,1,2,2,5,1,2,Hindi,1,2,1,1,3,1,,,,,
21,B21,Bihar,1,Patna,AWC Mehdi Nagar,Near PHC,1,10:00:00,14:00:00,10:00:00,14:00:00,2,1,3,40,28,28,1,Chandan Kumar Chubey,11/24/2022,10:00,2:00,Swati Amrit,6,2,2,2,3,1,1,2,3,2,3,3,2,1,1,4,2,2,2,1,4,3,2,1,3,1,2,1,2,3,2,4,4,2,2,1,2,3,2,1,3,1,3,3,1,2,2,2,1,1,1,2,2,1,2,0,NA,NA,2,3,3,1,2,3,NA,NA,NA,NA,Rama Kumari,2,4,1,2,2,3,1,1,Hindi,1,1,2,4,1,1,,,,,
22,B22,Bihar,1,Patna,AWC Digha harijan Toli,Near Post office,1,10:00:00,14:00:00,10:00:00,14:00:00,2,1,3,40,28,28,1,Chandan Kumar Chubey,11/27/2022,10:00,2:00,Swati Amrit,7,2,2,3,3,1,1,2,4,3,2,3,3,2,2,4,3,2,2,1,4,3,4,1,1,1,2,1,2,2,1,4,4,2,2,1,2,3,2,1,4,1,3,3,2,2,2,2,1,1,1,2,2,1,2,0,NA,NA,2,2,3,1,2,3,NA,NA,NA,NA,Sunita Kumari,2,4,1,2,2,4,1,2,Hindi,1,1,1,4,1,1,,,,,
23,B23,Bihar,1,Patna,AWC ,Near PHC,1,10:00:00,14:00:00,10:00:00,14:00:00,2,1,3,40,30,30,1,Mobashshir Danish,11/24/2022,9:30,2:00,Swati Amrit,6,2,2,2,1,1,2,1,3,3,1,1,2,1,2,1,2,1,1,1,2,4,1,1,4,1,2,2,2,2,2,2,2,2,1,1,2,3,3,2,2,1,3,4,4,3,3,2,1,1,1,1,2,1,1,0,NA,NA,2,2,2,2,3,2,NA,NA,NA,NA,Runa Kumari,2,2,1,1,1,3,2,1,Hindi,1,1,1,4,1,1,,,,,
24,B24,Bihar,1,Patna,AWC-148,North patel Nagar lal babu market,1,10:00:00,14:00:00,10:00:00,14:00:00,2,1,3,40,32,32,1,Chandan Kumar Chubey,11/22/2022,10:00,2:00,Swati Amrit,6,2,2,2,1,3,2,2,3,3,2,3,3,2,2,4,3,2,2,1,4,3,4,1,1,1,2,1,2,2,1,4,2,2,2,1,1,3,2,1,1,1,3,2,2,2,2,2,1,1,1,2,2,1,1,0,NA,NA,2,2,3,1,2,3,NA,NA,NA,NA,Kumari Sarita,2,4,1,2,2,4,1,2,Hindi,1,1,1,4,1,1,,,,,
